GTFS Stop ID,Station Name,Line,Stop Sequence,Mode,Structure,GTFS Latitude,GTFS Longitude,Density Workday,Density Workday Night,Density Holiday Day,Density Holiday Night,lat,lon,geometry_wkt
LIM-0123,3 de Octubre,L3,26,Sub,At Grade,-11.94535,-77.07104,0,0,0,0,-11.94535,-77.07104,POINT (-77.07104 -11.94535)
LIM-0124,Huandoy,L3,27,Sub,At Grade,-11.93758,-77.07171,0,0,0,0,-11.93758,-77.07171,POINT (-77.07171 -11.93758)
LIM-0125,EL Alamo,L3,28,Sub,At Grade,-11.92465,-77.06393,0,0,0,0,-11.92465,-77.06393,POINT (-77.06393 -11.92465)
LIM-0126,Mercado Santa Anita,L4,1,Sub,At Grade,-12.04421,-76.93783,0,0,0,0,-12.04421,-76.93783,POINT (-76.93783 -12.04421)
LIM-0127,Estadio Monumental,L4,2,Sub,At Grade,-12.05395,-76.93806,0,0,0,0,-12.05395,-76.93806,POINT (-76.93806 -12.05395)
LIM-0128,Santa Patricia,L4,3,Sub,At Grade,-12.06882,-76.94857,0,0,0,0,-12.06882,-76.94857,POINT (-76.94857 -12.06882)
LIM-0129,La Molina,L4,4,Sub,At Grade,-12.07153,-76.95668,0,0,0,0,-12.07153,-76.95668,POINT (-76.95668 -12.07153)
LIM-0130,Los Frutales,L4,5,Sub,At Grade,-12.07555,-76.96368,0,0,0,0,-12.07555,-76.96368,POINT (-76.96368 -12.07555)
LIM-0131,Manuel Olguin,L4,6,Sub,At Grade,-12.08388,-76.97338,0,0,0,0,-12.08388,-76.97338,POINT (-76.97338 -12.08388)
LIM-0132,Monterrico,L4,7,Sub,At Grade,-12.08515,-76.98455,0,0,0,0,-12.08515,-76.98455,POINT (-76.98455 -12.08515)
LIM-0133,San Luis,L4,8,Sub,At Grade,-12.08701,-76.99661,0,0,0,0,-12.08701,-76.99661,POINT (-76.99661 -12.08701)
LIM-0134,La Cultura,L4,9,Sub,At Grade,-12.08804,-77.00355,0,0,0,0,-12.08804,-77.00355,POINT (-77.00355 -12.08804)
LIM-0135,Pablo Carriquirry,L4,10,Sub,At Grade,-12.0903,-77.01916,0,0,0,0,-12.0903,-77.01916,POINT (-77.01916 -12.0903)
