GTFS Stop ID,Station ID,Complex ID,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference,geometry,_x,_y,is_cbd,geometry_wkt
D26,42,42,BMT,Broadway - Brighton,Prospect Park,Bk,False,B Q S,Open Cut,40.661614,-73.962246,Northbound,Southbound,1,1,1,,POINT (-73.962246 40.661614),POINT (-73.962246 40.661614),-8233439.562646834,4962557.203789072,False,POINT (-73.962246 40.661614)
129,319,319,IRT,Broadway - 7Av,28 St,M,True,1,Subway,40.747215,-73.993365,Uptown,Downtown,0,0,0,,POINT (-73.993365 40.747215),POINT (-73.993365 40.747215),-8236903.71388083,4975127.131107203,True,POINT (-73.993365 40.747215)
R24,20,20,BMT,Broadway,City Hall,M,True,R W,Subway,40.713282,-74.006978,Uptown,Downtown,0,0,0,,POINT (-74.006978 40.713282),POINT (-74.006978 40.713282),-8238419.106109,4970142.366732305,True,POINT (-74.006978 40.713282)
F07,260,260,IND,Queens Blvd,75 Av,Q,False,E F,Subway,40.718331,-73.837324,Jamaica,Manhattan,0,0,0,,POINT (-73.837324 40.718331),POINT (-73.837324 40.718331),-8219533.309217957,4970883.904880904,False,POINT (-73.837324 40.718331)
N05,74,74,BMT,Sea Beach,18 Av,Bk,False,N,Open Cut,40.620671,-73.990414,Manhattan,Coney Island,0,0,0,,POINT (-73.990414 40.620671),POINT (-73.990414 40.620671),-8236575.210063499,4956550.705009788,False,POINT (-73.990414 40.620671)
R16,11,611,BMT,Broadway - Brighton,Times Sq-42 St,M,True,N Q R W,Subway,40.754672,-73.986754,Uptown,Downtown,1,1,1,,POINT (-73.986754 40.754672),POINT (-73.986754 40.754672),-8236167.780727197,4976222.906704203,True,POINT (-73.986754 40.754672)
112,302,605,IRT,Broadway - 7Av,168 St-Washington Hts,M,False,1,Subway,40.840556,-73.940133,Uptown,Downtown,0,0,0,,POINT (-73.940133 40.840556),POINT (-73.940133 40.840556),-8230977.954746924,4988852.079990656,False,POINT (-73.940133 40.840556)
302,437,437,IRT,Lenox - White Plains Rd,145 St,M,False,3,Subway,40.820421,-73.936245,Harlem,Downtown,0,0,0,,POINT (-73.936245 40.820421),POINT (-73.936245 40.820421),-8230545.144566719,4985889.777565001,False,POINT (-73.936245 40.820421)
A06,146,146,IND,8th Av - Fulton St,181 St,M,False,A,Subway,40.851695,-73.937969,Uptown,Downtown,1,1,1,,POINT (-73.937969 40.851695),POINT (-73.937969 40.851695),-8230737.059368845,4990491.25909025,False,POINT (-73.937969 40.851695)
107,297,297,IRT,Broadway - 7Av,215 St,M,False,1,Elevated,40.869444,-73.915279,The Bronx,Downtown,0,0,0,,POINT (-73.915279 40.869444),POINT (-73.915279 40.869444),-8228211.220122748,4993103.713846098,False,POINT (-73.915279 40.869444)
J30,95,95,BMT,Jamaica,Gates Av,Bk,False,J Z,Elevated,40.68963,-73.92227,Outbound,Manhattan,0,0,0,,POINT (-73.92227 40.68963),POINT (-73.92227 40.68963),-8228989.454682883,4966669.385666911,False,POINT (-73.92227 40.68963)
